"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"2","1.024100","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"3","2.047188","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"4","3.915848","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"5","4.926994","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"6","5.951654","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"7","7.844144","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"8","7.844146","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"9","7.979106","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"10","8.846014","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"11","8.846018","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"12","8.991018","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"13","9.842447","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"14","9.842451","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.101? (ARP Probe)"
"15","10.014989","0a:00:27:00:00:00","Broadcast","ARP","42","Who has 192.168.56.101? Tell 192.168.56.1"
"16","10.850868","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"17","10.850872","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"18","10.850932","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","192.168.56.1 is at 0a:00:27:00:00:00"
"19","10.878478","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"20","10.878480","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"21","10.888246","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"22","10.888248","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"23","10.895664","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"24","10.895666","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"25","10.909553","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"26","10.909555","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"27","10.953619","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"28","10.953623","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
"29","10.953754","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"30","10.953755","192.168.56.101","192.168.56.255","NBNS","110","Registration NB WORKGROUP<00>"
"31","10.974942","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"32","10.974947","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<20>"
"33","10.990999","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"34","10.991001","192.168.56.101","224.0.0.252","LLMNR","66","Standard query 0x4163 A isatap"
"35","10.998935","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"36","10.998941","192.168.56.101","224.0.0.22","IGMPv3","54","Membership Report / Join group 239.255.255.250 for any sources"
"37","11.020748","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"38","11.020752","5a:94:d2:14:5a:51","Broadcast","ARP","42","Who has 192.168.56.1? Tell 192.168.56.101"
"39","11.020763","0a:00:27:00:00:00","5a:94:d2:14:5a:51","ARP","42","192.168.56.1 is at 0a:00:27:00:00:00"
"40","11.021075","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"41","11.021076","192.168.56.101","224.0.0.252","LLMNR","64","Standard query 0x21c1 ANY None"
"42","11.193299","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"43","11.193302","192.168.56.101","192.168.56.255","NBNS","92","Name query NB ISATAP<00>"
"44","11.225448","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"45","11.225453","192.168.56.101","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"46","11.342655","192.168.56.101","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"47","11.342659","192.168.56.101","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources"
"48","11.547927","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"49","11.547929","192.168.56.101","239.255.255.250","SSDP","139","M-SEARCH * HTTP/1.1 "
"50","11.567587","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"51","11.567589","192.168.56.101","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"52","11.688292","192.168.56.101","192.168.56.255","NBNS","110","Registration NB NONE<00>"
