,No.,Time,Source,Destination,Protocol,Length,Info
0,1,0.0,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
1,2,1.021749,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
2,3,2.044526,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
3,4,3.891148,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
4,5,4.892067,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
5,6,5.92046,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
6,7,7.943766,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
7,8,8.95629,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
8,9,9.839106,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
9,10,9.839108,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
10,11,9.979967,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
11,12,10.839842,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
12,13,10.839846,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
13,14,11.838995,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
14,15,11.838999,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.101? (ARP Probe)
15,16,12.008162,0a:00:27:00:00:00,Broadcast,ARP,42,Who has 192.168.56.101? Tell 192.168.56.1
16,17,12.842976,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
17,18,12.842979,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
18,19,12.843011,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
19,20,12.851427,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xd671 A isatap
20,21,12.851428,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xd671 A isatap
21,22,12.852795,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
22,23,12.852796,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Leave group 224.0.0.252
23,24,12.876482,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
24,25,12.876484,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
25,26,12.878972,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 ANY None
26,27,12.878973,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 ANY None
27,28,12.929288,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
28,29,12.929291,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<20>
29,30,12.930025,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
30,31,12.930027,192.168.56.101,192.168.56.255,NBNS,110,Registration NB NONE<00>
31,32,12.930081,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
32,33,12.930082,192.168.56.101,192.168.56.255,NBNS,110,Registration NB WORKGROUP<00>
33,34,12.937097,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
34,35,12.937099,192.168.56.101,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
35,36,12.950899,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xd671 A isatap
36,37,12.950916,192.168.56.101,224.0.0.252,LLMNR,66,Standard query 0xd671 A isatap
37,38,12.965834,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 ANY None
38,39,12.965836,192.168.56.101,224.0.0.252,LLMNR,64,Standard query 0x4163 ANY None
39,40,13.014385,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
40,41,13.014387,5a:94:d2:14:5a:51,Broadcast,ARP,42,Who has 192.168.56.1? Tell 192.168.56.101
41,42,13.014397,0a:00:27:00:00:00,5a:94:d2:14:5a:51,ARP,42,192.168.56.1 is at 0a:00:27:00:00:00
42,43,13.153015,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
43,44,13.153019,192.168.56.101,192.168.56.255,NBNS,92,Name query NB ISATAP<00>
44,45,13.168359,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
45,46,13.168363,192.168.56.101,239.255.255.250,SSDP,175,M-SEARCH * HTTP/1.1 
